151.69.0.8,151.69.0.8,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
89.101.97.139,89.101.97.139,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
197.167.46.225,197.167.46.225,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
197.164.171.102,197.164.171.102,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
70.163.1.219,70.163.1.219,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
197.167.46.225,197.167.46.225,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
45.9.20.200,45.9.20.200,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
217.128.122.65,217.128.122.65,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
31.35.28.29,31.35.28.29,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
86.195.158.178,86.195.158.178,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
80.11.74.81,80.11.74.81,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
80.123.141.226,80.123.141.226,06b06b00006b06b06b06b06b06b06be3b0c44298fc1c149afbf4c8996fb924,002f|0301||,002f|0301||,|||,002f|0301||,002f|0301||,002f|0301||,002f|0301||,002f|0301||,002f|0301||,002f|0301||
197.37.66.133,197.37.66.133,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
82.152.39.39,82.152.39.39,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
92.177.45.46,92.177.45.46,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
39.41.139.127,39.41.139.127,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
176.88.238.122,176.88.238.122,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
184.100.174.73,184.100.174.73,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
176.67.56.94,176.67.56.94,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
195.32.57.18,195.32.57.18,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
41.230.62.211,41.230.62.211,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
2.34.12.8,2.34.12.8,04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e,000a|0303||ff01-0023,0005|0303||ff01-0023,|||,000a|0303||ff01-0023,000a|0303||ff01-0023,000a|0302||ff01-0023,000a|0303||ff01-0023,0005|0303||ff01-0023,000a|0303||ff01-0023,000a|0303||ff01-0023
66.230.104.103,66.230.104.103,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
148.64.96.100,148.64.96.100,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
39.41.189.204,39.41.189.204,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
47.51.47.182,47.51.47.182,00000000000000000000000000000000000000000000000000000000000000,|||,|||,|||,|||,|||,|||,|||,|||,|||,|||
